state,year,population
IA,2009,2363120
ID,2009,1156200
IL,2009,9793640
IN,2009,5015800
KS,2009,2134500
KY,2009,3336160
LA,2009,3482960
MA,2009,5179960
MD,2009,4583480
ME,2009,1085060
MI,2009,7929220
MN,2009,4110940
MO,2009,4677300
MS,2009,2267160
MT,2009,777100
NC,2009,7185100
ND,2009,513120
NE,2009,1362080
NH,2009,1075780
NJ,2009,6909920
NM,2009,1497420
NV,2009,2031060
NY,2009,14440160
OH,2009,9401800
OK,2009,2844020
OR,2009,3061160
PA,2009,10215080
PR,2009,2794620
RI,2009,824700
SC,2009,3590440
SD,2009,616360
TN,2009,4924460
TX,2009,17817040
UT,2009,1889480
VA,2009,6292060
VT,2009,495860
WA,2009,5281460
WI,2009,4338040
WV,2009,1495420
WY,2009,424480
AK,2010,510780
AL,2010,3723400
AR,2010,2184720
AZ,2010,4680620
CA,2010,27652160
CO,2010,3847460
CT,2010,2835460
DC,2010,483900
DE,2010,714980
FL,2010,15492260
GA,2010,7322180
HI,2010,1022660
IA,2010,2376740
ID,2010,1166680
IL,2010,9814700
IN,2010,5017140
KS,2010,2140900
KY,2010,3359320
LA,2010,3499580
MA,2010,5204540
MD,2010,4616720
ME,2010,1090760
MI,2010,7954420
MN,2010,4139020
MO,2010,4698280
MS,2010,2274380
MT,2010,781000
NC,2010,7235900
ND,2010,519460
NE,2010,1371200
NH,2010,1084800
NJ,2010,6931800
NM,2010,1509880
NV,2010,2037760
NY,2010,14498300
OH,2010,9414660
OK,2010,2862280
OR,2010,3078820
PA,2010,10261100
PR,2010,2776180
RI,2010,829860
SC,2010,3632000
SD,2010,623600
TN,2010,4973720
TX,2010,18095620
UT,2010,1922000
VA,2010,6360080
VT,2010,500560
WA,2010,5335860
WI,2010,4371720
WV,2010,1502680
WY,2010,428500
AK,2011,511740
AL,2011,3726320
AR,2011,2180800
AZ,2011,4694640
CA,2011,27628360
CO,2011,3872000
CT,2011,2824840
DC,2011,483640
DE,2011,716200
FL,2011,15524300
GA,2011,7336840
HI,2011,1019300
IA,2011,2370580
ID,2011,1171060
IL,2011,9765900
IN,2011,4994820
KS,2011,2135780
KY,2011,3356820
LA,2011,3492720
MA,2011,5192360
MD,2011,4615460
ME,2011,1088580
MI,2011,7924500
MN,2011,4139860
MO,2011,4689760
MS,2011,2262860
MT,2011,782040
NC,2011,7240060
ND,2011,524140
NE,2011,1370760
NH,2011,1083860
NJ,2011,6899580
NM,2011,1513080
NV,2011,2040660
NY,2011,14427640
OH,2011,9358380
OK,2011,2864200
OR,2011,3086720
PA,2011,10222540
PR,2011,2793820
RI,2011,823680
SC,2011,3635520
SD,2011,623180
TN,2011,4984120
TX,2011,18195760
UT,2011,1932320
VA,2011,6379100
VT,2011,500720
WA,2011,5362640
WI,2011,4375600
WV,2011,1499040
WY,2011,429560
AK,2012,512700
AL,2012,3724580
AR,2012,2168020
AZ,2012,4700320
CA,2012,27657260
CO,2012,3896400
CT,2012,2815700
DC,2012,486060
DE,2012,720540
FL,2012,15560040
GA,2012,7358920
HI,2012,1015540
IA,2012,2370860
ID,2012,1175320
IL,2012,9682480
IN,2012,4976320
KS,2012,2128760
KY,2012,3350940
LA,2012,3485660
MA,2012,5186340
MD,2012,4608000
ME,2012,1087860
MI,2012,7917040
MN,2012,4150220
MO,2012,4681100
MS,2012,2249320
MT,2012,781040
NC,2012,7253720
ND,2012,532500
NE,2012,1368920
NH,2012,1084680
NJ,2012,6882600
NM,2012,1510920
NV,2012,2050380
NY,2012,14379080
OH,2012,9315460
OK,2012,2863240
OR,2012,3094300
PA,2012,10178840
PR,2012,2743080
RI,2012,821380
SC,2012,3654060
SD,2012,624440
TN,2012,4988860
TX,2012,18277860
UT,2012,1935680
VA,2012,6383860
VT,2012,499220
WA,2012,5380640
WI,2012,4374200
WV,2012,1487800
WY,2012,429480
AK,2013,544100
AL,2013,3927960
AR,2013,2285040
AZ,2013,4968360
CA,2013,29101220
CO,2013,4132820
CT,2013,2935960
DC,2013,520440
DE,2013,761880
FL,2013,16587060
GA,2013,7848060
HI,2013,1057500
IA,2013,2477360
ID,2013,1234460
IL,2013,10209900
IN,2013,5223700
KS,2013,2233880
KY,2013,3533460
LA,2013,3678100
MA,2013,5396200
MD,2013,4853640
ME,2013,1136120
MI,2013,8282600
MN,2013,4327900
MO,2013,4910400
MS,2013,2386360
MT,2013,817540
NC,2013,7693500
ND,2013,560040
NE,2013,1432300
NH,2013,1123660
NJ,2013,7231780
NM,2013,1605320
NV,2013,2210600
NY,2013,15014580
OH,2013,9780980
OK,2013,3048820
OR,2013,3226460
PA,2013,10646360
PR,2013,2775880
RI,2013,858480
SC,2013,3877420
SD,2013,652200
TN,2013,5264140
TX,2013,19657520
UT,2013,2058940
VA,2013,6725840
VT,2013,517780
WA,2013,5678440
WI,2013,4613780
WV,2013,1564120
