state,year,per_capita_student_debt
MI,2004,1420
MI,2005,1600
MI,2006,1920
MI,2007,2190
MI,2008,2700
MI,2009,3120
MI,2010,3500
MI,2011,3800
MI,2012,4240
MI,2013,4540
MI,2014,4840
MI,2015,4940
MI,2016,5280
MI,2017,5490
MI,2018,5800
MN,2003,1430
MN,2004,1840
MN,2005,2080
MN,2006,2450
MN,2007,2900
MN,2008,3330
MN,2009,3730
MN,2010,4200
MN,2011,4600
MN,2012,5020
MN,2013,5310
MN,2014,5550
MN,2015,5730
MN,2016,5980
MN,2017,6100
MN,2018,6280
MO,2003,1060
MO,2004,1490
MO,2005,1610
MO,2006,1970
MO,2007,2260
MO,2008,2700
MO,2009,3110
MO,2010,3470
MO,2011,3760
MO,2012,4180
MO,2013,4370
MO,2014,4620
MO,2015,4760
MO,2016,5000
MO,2017,5140
MO,2018,5270
MS,2003,810
MS,2004,1130
MS,2005,1300
MS,2006,1680
MS,2007,1980
MS,2008,2390
MS,2009,2820
MS,2010,3150
MS,2011,3560
MS,2012,4130
MS,2013,4250
MS,2014,4630
MS,2015,4880
MS,2016,5210
MS,2017,5510
MS,2018,5870
MT,2003,1270
MT,2004,1770
MT,2005,1640
MT,2006,2170
MT,2007,2360
MT,2008,2680
MT,2009,2950
MT,2010,3210
MT,2011,3420
MT,2012,3750
MT,2013,3840
MT,2014,4090
MT,2015,4080
MT,2016,4000
MT,2017,4360
MT,2018,4670
NC,2003,780
NC,2004,990
NC,2005,1200
NC,2006,1530
NC,2007,1790
NC,2008,2140
NC,2009,2480
NC,2010,2800
NC,2011,3050
NC,2012,3420
NC,2013,3750
NC,2014,4010
NC,2015,4280
NC,2016,4650
NC,2017,4950
NC,2018,5240
ND,2003,1840
ND,2004,2020
ND,2005,2240
ND,2006,2620
ND,2007,3020
ND,2008,3260
ND,2009,3600
ND,2010,3870
ND,2011,4150
ND,2012,4670
ND,2013,4770
ND,2014,4870
ND,2015,5040
ND,2016,4910
ND,2017,5240
ND,2018,5510
NE,2003,1430
NE,2004,1270
NE,2005,1440
NE,2006,1650
NE,2007,1870
NE,2008,3090
NE,2009,3290
NE,2010,3750
NE,2011,3890
NE,2012,4200
NE,2013,4300
NE,2014,4510
NE,2015,4710
NE,2016,4850
NE,2017,5000
NE,2018,5080
NH,2003,1360
NH,2004,2010
NH,2005,2320
NH,2006,2680
NH,2007,3090
NH,2008,3460
NH,2009,3730
NH,2010,3980
NH,2011,4370
NH,2012,4630
NH,2013,4860
NH,2014,5000
NH,2015,5260
NH,2016,5580
NH,2017,5900
NH,2018,5860
NJ,2003,1050
NJ,2004,1570
NJ,2005,1760
NJ,2006,2210
NJ,2007,2540
NJ,2008,2950
NJ,2009,3300
NJ,2010,3680
NJ,2011,3980
NJ,2012,4330
NJ,2013,4710
NJ,2014,4970
NJ,2015,5200
NJ,2016,5530
NJ,2017,5720
NJ,2018,6090
NM,2003,830
NM,2004,1290
NM,2005,1490
NM,2006,1760
NM,2007,1970
NM,2008,2190
NM,2009,2440
NM,2010,2720
NM,2011,3010
NM,2012,3360
NM,2013,3490
NM,2014,3550
NM,2015,3620
NM,2016,3760
NM,2017,3810
NM,2018,4070
NV,2003,730
NV,2004,980
NV,2005,1110
NV,2006,1260
NV,2007,1530
NV,2008,1860
NV,2009,2080
NV,2010,2290
NV,2011,2460
NV,2012,2850
NV,2013,2960
NV,2014,3180
NV,2015,3430
NV,2016,3620
NV,2017,3790
NV,2018,4170
NY,2003,1420
NY,2004,1940
NY,2005,2090
NY,2006,2640
NY,2007,2960
NY,2008,3450
NY,2009,3820
NY,2010,4200
NY,2011,4440
NY,2012,4770
NY,2013,5060
NY,2014,5190
NY,2015,5330
NY,2016,5550
NY,2017,5810
NY,2018,6090
OH,2003,1210
OH,2004,1570
OH,2005,1790
OH,2006,2210
OH,2007,2590
OH,2008,3060
OH,2009,3490
OH,2010,3940
OH,2011,4220
OH,2012,4640
OH,2013,5000
OH,2014,5320
OH,2015,5510
OH,2016,5780
OH,2017,5980
OH,2018,6220
OK,2003,830
OK,2004,1270
OK,2005,1470
OK,2006,1750
OK,2007,1960
OK,2008,2400
OK,2009,2700
OK,2010,2940
OK,2011,3210
OK,2012,3580
OK,2013,3730
OK,2014,3840
OK,2015,3940
OK,2016,4100
OK,2017,4300
OK,2018,4540
OR,2003,1090
OR,2004,1490
OR,2005,1700
OR,2006,2050
OR,2007,2340
OR,2008,2710
OR,2009,3090
OR,2010,3440
OR,2011,3720
OR,2012,4160
OR,2013,4460
OR,2014,4750
OR,2015,4980
OR,2016,5260
OR,2017,5430
OR,2018,5760
PA,2003,1270
PA,2004,1780
PA,2005,1890
PA,2006,2410
PA,2007,2750
PA,2008,3200
PA,2009,3600
PA,2010,3950
PA,2011,4290
PA,2012,4600
PA,2013,4890
PA,2014,5140
PA,2015,5350
PA,2016,5660
PA,2017,5910
PA,2018,6210
PR,2003,500
PR,2004,650
PR,2005,720
PR,2006,870
PR,2007,990
PR,2008,1070
PR,2009,1250
PR,2010,1420
PR,2011,1510
PR,2012,1770
PR,2013,1950
PR,2014,2100
PR,2015,2320
PR,2016,2620
PR,2017,NA
PR,2018,NA
RI,2003,1380
RI,2004,1790
RI,2005,1830
RI,2006,2160
RI,2007,2310
RI,2008,2870
RI,2009,3200
RI,2010,3750
RI,2011,3600
RI,2012,4060
RI,2013,4410
RI,2014,4650
RI,2015,4780
RI,2016,4940
RI,2017,4910
RI,2018,5390
SC,2003,710
SC,2004,960
SC,2005,1300
SC,2006,1800
SC,2007,2120
SC,2008,2430
SC,2009,2820
SC,2010,3210
SC,2011,3500
SC,2012,4020
SC,2013,4290
SC,2014,4620
SC,2015,4870
SC,2016,5240
SC,2017,5500
SC,2018,5870
SD,2003,1770
SD,2004,1930
SD,2005,2160
SD,2006,2340
SD,2007,2810
SD,2008,3250
SD,2009,3450
SD,2010,3740
SD,2011,3950
SD,2012,4290
SD,2013,4250
SD,2014,4340
SD,2015,4710
SD,2016,4890
SD,2017,5020
SD,2018,5170
TN,2003,800
TN,2004,1140
TN,2005,1300
TN,2006,1560
TN,2007,1810
TN,2008,2190
TN,2009,2460
TN,2010,2820
TN,2011,3090
TN,2012,3480
TN,2013,3770
TN,2014,4050
TN,2015,4190
TN,2016,4520
TN,2017,4760
TN,2018,5050
TX,2003,910
TX,2004,1250
TX,2005,1470
TX,2006,1740
TX,2007,1970
TX,2008,2350
TX,2009,2680
TX,2010,2990
TX,2011,3240
TX,2012,3610
TX,2013,3740
TX,2014,4000
TX,2015,4180
TX,2016,4460
TX,2017,4700
TX,2018,4970
UT,2003,780
UT,2004,1180
UT,2005,1340
UT,2006,1680
UT,2007,1860
UT,2008,2210
UT,2009,2500
UT,2010,2730
UT,2011,3030
UT,2012,3390
UT,2013,3470
UT,2014,3620
UT,2015,3870
UT,2016,4100
UT,2017,4230
UT,2018,4350
VA,2003,1110
VA,2004,1580
VA,2005,1660
VA,2006,2030
VA,2007,2270
VA,2008,2690
VA,2009,3070
VA,2010,3410
VA,2011,3690
VA,2012,4030
VA,2013,4320
VA,2014,4680
VA,2015,4850
VA,2016,5230
VA,2017,5550
VA,2018,5820
VT,2003,1990
VT,2004,2210
VT,2005,2230
VT,2006,2840
VT,2007,3130
VT,2008,3780
VT,2009,3850
VT,2010,4070
VT,2011,4070
VT,2012,4400
VT,2013,4530
VT,2014,4850
VT,2015,5130
VT,2016,5250
VT,2017,5620
VT,2018,5480
WA,2003,980
WA,2004,1350
WA,2005,1500
WA,2006,1810
WA,2007,2060
WA,2008,2300
WA,2009,2540
WA,2010,2820
WA,2011,3030
WA,2012,3380
WA,2013,3540
WA,2014,3710
WA,2015,3860
WA,2016,4030
WA,2017,4110
WA,2018,4270
WI,2003,1180
WI,2004,1400
WI,2005,1600
WI,2006,1900
WI,2007,2190
WI,2008,2530
WI,2009,2870
WI,2010,3240
WI,2011,3470
WI,2012,3860
WI,2013,4000
WI,2014,4230
WI,2015,4370
WI,2016,4580
WI,2017,4750
WI,2018,4850
WV,2003,950
WV,2004,1190
WV,2005,1330
WV,2006,1710
WV,2007,1970
WV,2008,2320
WV,2009,2580
WV,2010,2840
WV,2011,2990
WV,2012,3290
WV,2013,3490
WV,2014,3780
WV,2015,3800
WV,2016,3920
WV,2017,4070
WV,2018,4020
WY,2003,670
WY,2004,1220
WY,2005,1240
WY,2006,1570
WY,2007,1870
WY,2008,2090
WY,2009,2270
WY,2010,2480
WY,2011,2770
WY,2012,3090
WY,2013,3160
WY,2014,3290
WY,2015,3290
WY,2016,3300
WY,2017,3270
WY,2018,3610
